    I    i    ii    ii7    iio    ii07    IV    iv    V    V7    bVI    vi    viio    vii07    viiO7
I    3-11B    4-17    6-33B    6-33B    6-Z24B    6-Z24B    5-27A    5-Z17    5-27A    6-Z25A    5-21B    4-26    6-Z25A    7-35    7-32B
i    4-17    3-11A    6-Z29    6-Z29    6-Z25B    6-Z25B    5-34    5-27B    5-Z17    6-Z24A    4-20    5-32A    6-Z24A    7-34    7-32A
ii    6-33B    6-Z29    3-11B    4-27B    5-16B    6-Z49    5-32B    6-Z49    5-27A    6-Z46A    6-30B    5-34    5-32A    5-32A    6-27A
ii7    6-33B    6-Z29    4-27B    4-27B    6-Z49    6-Z49    5-32B    6-Z49    6-Z25A    7-29A    6-30B    5-34    6-Z50    6-Z50    7-31A
iio    6-Z24B    6-Z25B    5-16B    6-Z49    3-10    4-27A    5-32A    4-27A    5-31B    5-31B    5-25A    6-31B    4-28    5-31A    4-28
ii07    6-Z24B    6-Z25B    6-Z49    6-Z49    4-27A    4-27A    5-32A    4-27A    6-Z29    6-Z29    5-25A    6-31B    5-31A    6-27A    5-31A
IV    5-27A    5-34    5-32B    5-32B    5-32A    5-32A    3-11B    4-17    6-33B    6-33B    5-32B    4-20    5-25A    5-25A    6-27A
iv    5-Z17    5-27B    6-Z49    6-Z49    4-27A    4-27A    4-17    3-11A    6-Z29    6-Z29    4-26    5-21A    5-31A    6-27A    5-31A
V    5-27A    5-Z17    5-27A    6-Z25A    5-31B    6-Z29    6-33B    6-Z29    3-11B    4-27B    6-Z19B    6-32    4-27B    5-34    5-31B
V7    6-Z25A    6-Z24A    6-Z46A    7-29A    5-31B    6-Z29    6-33B    6-Z29    4-27B    4-27B    7-32A    7-35    4-27B    5-34    5-31B
bVI    5-21B    4-20    6-30B    6-30B    5-25A    5-25A    5-32B    4-26    6-Z19B    7-32A    3-11B    5-22    6-27A    7-31A    6-27A
vi    4-26    5-32A    5-34    5-34    6-31B    6-31B    4-20    5-21A    6-32    7-35    5-22    3-11A    6-Z25B    6-Z25B    7-32A
viio    6-Z25A    6-Z24A    5-32A    6-Z50    4-28    5-31A    5-25A    5-31A    4-27B    4-27B    6-27A    6-Z25B    3-10    4-27A    4-28
vii07    7-35    7-34    5-32A    6-Z50    5-31A    6-27A    5-25A    6-27A    5-34    5-34    7-31A    6-Z25B    4-27A    4-27A    5-31A
viiO7    7-32B    7-32A    6-27A    7-31A    4-28    5-31A    6-27A    5-31A    5-31B    5-31B    6-27A    7-32A    4-28    5-31A    4-28
                                                            
                                                            
                                                            
                                                            
                                                            
                                                            
